Trait,Metric,Method,Annotation,Score,Score SE
Morning Person,tau_star,S-LD2,CTCF_Hoffman,0.3230946124266028,0.6521328055005239
Morning Person,tau_star,S-LD2,CTCF_Hoffman.flanking.500,0.48511754330555756,0.5521188155182353
Morning Person,tau_star,S-LD2,DGF_ENCODE,-0.18823435468528776,0.7741388518345224
Morning Person,tau_star,S-LD2,DGF_ENCODE.flanking.500,0.18354112746843174,0.6324673620203226
Morning Person,tau_star,S-LD2,DHS_peaks_Trynka,-1.899326582010299,1.3509070623777673
Morning Person,tau_star,S-LD2,DHS_Trynka,-0.8781112660888714,1.4391253906133035
Morning Person,tau_star,S-LD2,DHS_Trynka.flanking.500,0.5554032716675585,0.8088646870428798
Morning Person,tau_star,S-LD2,Enhancer_Andersson,-0.13750606579426397,0.5855737933659036
Morning Person,tau_star,S-LD2,Enhancer_Andersson.flanking.500,-0.4617848930691964,0.5039983296996597
Morning Person,tau_star,S-LD2,Enhancer_Hoffman,0.052410012200798474,0.5017859080991484
Morning Person,tau_star,S-LD2,Enhancer_Hoffman.flanking.500,0.11416623837658982,0.5504033124664924
Morning Person,tau_star,S-LD2,FetalDHS_Trynka,0.39866890734119004,0.9326802128936672
Morning Person,tau_star,S-LD2,FetalDHS_Trynka.flanking.500,-0.8692303258133338,0.7041937027205364
Morning Person,tau_star,S-LD2,H3K27ac_Hnisz,-0.176564238876761,0.3377560309509927
Morning Person,tau_star,S-LD2,H3K27ac_Hnisz.flanking.500,0.04722083191592145,0.6145688798191815
Morning Person,tau_star,S-LD2,H3K27ac_PGC2,-0.20039886511847757,0.46003126075512457
Morning Person,tau_star,S-LD2,H3K27ac_PGC2.flanking.500,0.07833960007100865,0.5802723862614355
Morning Person,tau_star,S-LD2,H3K4me1_peaks_Trynka,2.8017946802466893,0.8403395742594388
Morning Person,tau_star,S-LD2,H3K4me1_Trynka,-0.3647886397133767,0.694586761276206
Morning Person,tau_star,S-LD2,H3K4me1_Trynka.flanking.500,0.11132663988358822,0.5572949175639176
Morning Person,tau_star,S-LD2,H3K4me3_peaks_Trynka,-1.2339926655144067,0.9980186998849039
Morning Person,tau_star,S-LD2,H3K4me3_Trynka,0.023066744802328745,0.7413774746588898
Morning Person,tau_star,S-LD2,H3K4me3_Trynka.flanking.500,0.26125461120272164,0.5613804328286692
Morning Person,tau_star,S-LD2,H3K9ac_peaks_Trynka,2.7131728395537795,0.9519962096880952
Morning Person,tau_star,S-LD2,H3K9ac_Trynka,-0.884727170041277,0.6463840381233863
Morning Person,tau_star,S-LD2,H3K9ac_Trynka.flanking.500,-0.9956388584431914,0.5366553182216909
Morning Person,tau_star,S-LD2,Intron_UCSC,0.13145863007162825,0.14970105093078123
Morning Person,tau_star,S-LD2,Intron_UCSC.flanking.500,1.4857038833306895,0.8128985835111744
Morning Person,tau_star,S-LD2,PromoterFlanking_Hoffman,1.1271954037360234,0.8742063348131052
Morning Person,tau_star,S-LD2,PromoterFlanking_Hoffman.flanking.500,0.8646378345160843,0.6491438929239459
Morning Person,tau_star,S-LD2,Promoter_UCSC,-0.36357231973998244,0.43795699305534497
Morning Person,tau_star,S-LD2,Promoter_UCSC.flanking.500,-0.24541544716903993,0.7521456750436006
Morning Person,tau_star,S-LD2,Repressed_Hoffman,1.0200476536199246,0.6431899956776084
Morning Person,tau_star,S-LD2,Repressed_Hoffman.flanking.500,-0.42004721415196844,0.5199303200950709
Morning Person,tau_star,S-LD2,SuperEnhancer_Hnisz,0.06501251336682709,0.21709722958461336
Morning Person,tau_star,S-LD2,SuperEnhancer_Hnisz.flanking.500,0.03426873260197107,0.5157434942005974
Morning Person,tau_star,S-LD2,TFBS_ENCODE,-1.5151330674715557,0.6770804183960075
Morning Person,tau_star,S-LD2,TFBS_ENCODE.flanking.500,-0.330302040567812,0.5656409699410818
Morning Person,tau_star,S-LD2,Transcr_Hoffman,0.45815276061137195,0.4518829200580695
Morning Person,tau_star,S-LD2,Transcr_Hoffman.flanking.500,-0.4327111849250006,0.4688456801297445
Morning Person,tau_star,S-LD2,TSS_Hoffman,0.7011046487813878,0.6102765657535878
Morning Person,tau_star,S-LD2,TSS_Hoffman.flanking.500,-0.50584988855763,0.6570013053997941
Morning Person,tau_star,S-LD2,UTR_3_UCSC,-0.5691428421419831,0.8000405143401186
Morning Person,tau_star,S-LD2,UTR_3_UCSC.flanking.500,-0.35976525315981517,0.3890707592874264
Morning Person,tau_star,S-LD2,UTR_5_UCSC,-0.41262136624546547,0.4492194332696345
Morning Person,tau_star,S-LD2,UTR_5_UCSC.flanking.500,0.8511240571758582,0.49320985989903954
Morning Person,tau_star,S-LD2,WeakEnhancer_Hoffman,0.4020887572586347,0.6796126318908409
Morning Person,tau_star,S-LD2,WeakEnhancer_Hoffman.flanking.500,-0.18479135738283856,0.5243602856181575
Morning Person,tau_star,S-LD2,GERP.NS,2.358126283438046,0.5026164434108961
Morning Person,tau_star,S-LD2,GERP.RSsup4,1.8633018473844882,1.0705462494053073
Morning Person,tau_star,S-LD2,MAFbin1,0.6031376638357185,0.4037202845719144
Morning Person,tau_star,S-LD2,MAFbin2,-0.1640835704990828,0.42116268355956427
Morning Person,tau_star,S-LD2,MAFbin3,0.40817063724413477,0.3622580730582051
Morning Person,tau_star,S-LD2,MAFbin4,0.06277827885009368,0.35334462561419755
Morning Person,tau_star,S-LD2,MAFbin5,0.8320922372574866,0.3785947707059203
Morning Person,tau_star,S-LD2,MAFbin6,0.009664951988191442,0.33325164029618964
Morning Person,tau_star,S-LD2,MAFbin7,0.014753591666850634,0.3419959677224132
Morning Person,tau_star,S-LD2,MAFbin8,0.46131661102293503,0.3738141667474189
Morning Person,tau_star,S-LD2,MAFbin9,0.23385610710336746,0.3570378853860413
Morning Person,tau_star,S-LD2,MAFbin10,0.09568183656083132,0.33263392396831215
Morning Person,tau_star,S-LD2,MAF_Adj_Predicted_Allele_Age,-0.354486658328667,0.3509077947804363
Morning Person,tau_star,S-LD2,MAF_Adj_LLD_AFR,-0.32557238084525786,0.2944277584999889
Morning Person,tau_star,S-LD2,Recomb_Rate_10kb,-0.7974421884371402,0.18286378879308302
Morning Person,tau_star,S-LD2,Nucleotide_Diversity_10kb,-0.38358559616626686,0.27546970671499676
Morning Person,tau_star,S-LD2,Backgrd_Selection_Stat,-0.07611725445940686,0.22616767464400186
Morning Person,tau_star,S-LD2,CpG_Content_50kb,0.9201836308968158,0.23080430846565145
Morning Person,tau_star,S-LD2,MAF_Adj_ASMC,-0.8432852691401987,0.28625137688128566
Morning Person,tau_star,S-LD2,GTEx_eQTL_MaxCPP,0.1802442602058188,0.3805878092987269
Morning Person,tau_star,S-LD2,BLUEPRINT_H3K27acQTL_MaxCPP,0.024781157801245443,0.40005027052661885
Morning Person,tau_star,S-LD2,BLUEPRINT_H3K4me1QTL_MaxCPP,0.2726964806490452,0.38105270006739606
Morning Person,tau_star,S-LD2,BLUEPRINT_DNA_methylation_MaxCPP,0.6878698431629369,0.40078003638607224
Morning Person,tau_star,S-LD2,synonymous,-3.2096459799173767,1.1266010851698895
Morning Person,tau_star,S-LD2,non_synonymous,-0.7946668924727327,1.0024610688605478
Morning Person,tau_star,S-LD2,Conserved_Vertebrate_phastCons46way,-0.366486787093617,0.9288136273033066
Morning Person,tau_star,S-LD2,Conserved_Vertebrate_phastCons46way.flanking.500,0.2086822574160289,0.9663141537063672
Morning Person,tau_star,S-LD2,Conserved_Mammal_phastCons46way,3.4420368173516698,1.7593459354797707
Morning Person,tau_star,S-LD2,Conserved_Mammal_phastCons46way.flanking.500,-1.2783235214219437,1.1624869941603562
Morning Person,tau_star,S-LD2,Conserved_Primate_phastCons46way,6.088854531155181,1.1277930038027326
Morning Person,tau_star,S-LD2,Conserved_Primate_phastCons46way.flanking.500,0.8282761494453299,0.6283668665955092
Morning Person,tau_star,S-LD2,BivFlnk,0.7025254659322344,0.5596226298450045
Morning Person,tau_star,S-LD2,BivFlnk.flanking.500,-0.4183933854831761,0.5294029035937465
Morning Person,tau_star,S-LD2,Human_Promoter_Villar,-0.7439310271091293,0.5154652623385426
Morning Person,tau_star,S-LD2,Human_Promoter_Villar.flanking.500,-0.06541322535290398,0.9641611057489625
Morning Person,tau_star,S-LD2,Human_Enhancer_Villar,0.0668275639041557,0.4302189941487139
Morning Person,tau_star,S-LD2,Human_Enhancer_Villar.flanking.500,0.045219741399685646,0.545409414337558
Morning Person,tau_star,S-LD2,Ancient_Sequence_Age_Human_Promoter,0.7022428779773277,0.9077574430826878
Morning Person,tau_star,S-LD2,Ancient_Sequence_Age_Human_Promoter.flanking.500,0.2840203100639486,0.8365416853311829
Morning Person,tau_star,S-LD2,Ancient_Sequence_Age_Human_Enhancer,-0.2379427304326334,0.5715893891090088
Morning Person,tau_star,S-LD2,Ancient_Sequence_Age_Human_Enhancer.flanking.500,-0.6940030228696762,0.543622546725624
Morning Person,tau_star,S-LD2,Human_Enhancer_Villar_Species_Enhancer_Count,0.18982275784179306,0.3310031323296154
Morning Person,tau_star,S-LD2,Human_Promoter_Villar_ExAC,1.1247515453800478,0.536532324722683
Morning Person,tau_star,S-LD2,Human_Promoter_Villar_ExAC.flanking.500,0.16679140401289758,0.8469404407243285
Years of Education,tau,S-LDSC,base,-7.392769405957214e-09,7.385130409285302e-09
Years of Education,tau,S-LDSC,Coding_UCSC,3.815639004145537e-09,3.192448912213185e-08
Years of Education,tau,S-LDSC,Coding_UCSC.flanking.500,-2.853312820075146e-08,1.071171168033229e-08
Years of Education,tau,S-LDSC,Conserved_LindbladToh,-1.0354193718083489e-08,4.0577861886518036e-08
Years of Education,tau,S-LDSC,Conserved_LindbladToh.flanking.500,1.1269550514658507e-08,5.245892380241437e-09
Years of Education,tau,S-LDSC,CTCF_Hoffman,-1.682885356534577e-08,1.8464947364916845e-08
Years of Education,tau,S-LDSC,CTCF_Hoffman.flanking.500,1.6371681868511433e-08,1.3522139263716507e-08
Years of Education,tau,S-LDSC,DGF_ENCODE,-1.2105599456621615e-08,1.1664303619221946e-08
Years of Education,tau,S-LDSC,DGF_ENCODE.flanking.500,-1.5040479619054633e-08,6.986095538633808e-09
Years of Education,tau,S-LDSC,DHS_peaks_Trynka,8.348392204237923e-10,2.0510324532780012e-08
Years of Education,tau,S-LDSC,DHS_Trynka,-1.2863581706291123e-08,1.732501449485062e-08
Years of Education,tau,S-LDSC,DHS_Trynka.flanking.500,2.7891991586047025e-09,7.862407425217195e-09
Years of Education,tau,S-LDSC,Enhancer_Andersson,-1.4556928640195644e-08,4.4397517364076446e-08
Years of Education,tau,S-LDSC,Enhancer_Andersson.flanking.500,3.3692895386144347e-08,2.717694139633414e-08
Years of Education,tau,S-LDSC,Enhancer_Hoffman,1.4281628171417675e-08,1.2472922390269097e-08
Years of Education,tau,S-LDSC,Enhancer_Hoffman.flanking.500,-2.4752059644726107e-08,1.448423115675802e-08
Years of Education,tau,S-LDSC,FetalDHS_Trynka,5.324346820588054e-09,1.5939732274210803e-08
Years of Education,tau,S-LDSC,FetalDHS_Trynka.flanking.500,-7.15928176017315e-09,7.464978895664762e-09
Years of Education,tau,S-LDSC,H3K27ac_Hnisz,-1.5132079034535969e-09,3.743235673600105e-09
Years of Education,tau,S-LDSC,H3K27ac_Hnisz.flanking.500,-1.6317552496135543e-08,1.8240151102846322e-08
Years of Education,tau,S-LDSC,H3K27ac_PGC2,3.9643347405378775e-10,5.792801979244045e-09
Years of Education,tau,S-LDSC,H3K27ac_PGC2.flanking.500,-4.465527129193302e-09,1.2042309405829948e-08
Years of Education,tau,S-LDSC,H3K4me1_peaks_Trynka,1.682775521861795e-08,1.1277834994396709e-08
Years of Education,tau,S-LDSC,H3K4me1_Trynka,-8.35957467922126e-09,7.386103880127348e-09
Years of Education,tau,S-LDSC,H3K4me1_Trynka.flanking.500,-1.2713598063425478e-08,8.146695072111555e-09
Years of Education,tau,S-LDSC,H3K4me3_peaks_Trynka,1.2396037579311547e-08,2.0647264616099914e-08
Years of Education,tau,S-LDSC,H3K4me3_Trynka,-1.4352057176489682e-09,8.875689111283853e-09
Years of Education,tau,S-LDSC,H3K4me3_Trynka.flanking.500,-4.656339781756649e-09,8.492452213393764e-09
Years of Education,tau,S-LDSC,H3K9ac_peaks_Trynka,5.3771545378983495e-08,2.3232551300308576e-08
Years of Education,tau,S-LDSC,H3K9ac_Trynka,-2.2478715233210637e-08,9.264237344782995e-09
Years of Education,tau,S-LDSC,H3K9ac_Trynka.flanking.500,8.892635137416546e-09,1.0303142235680216e-08
Years of Education,tau,S-LDSC,Intron_UCSC,4.425105122008382e-09,1.7804959103875583e-09
Years of Education,tau,S-LDSC,Intron_UCSC.flanking.500,-1.0941581776201663e-08,3.462748009958995e-08
Years of Education,tau,S-LDSC,PromoterFlanking_Hoffman,3.747028122940766e-08,4.202494588382263e-08
Years of Education,tau,S-LDSC,PromoterFlanking_Hoffman.flanking.500,1.574926801356925e-09,1.9224467689266897e-08
Years of Education,tau,S-LDSC,Promoter_UCSC,-4.817270819758473e-09,1.1396288678861799e-08
Years of Education,tau,S-LDSC,Promoter_UCSC.flanking.500,-1.4238762879785315e-08,3.264046286410962e-08
Years of Education,tau,S-LDSC,Repressed_Hoffman,-3.603048926731311e-09,5.957485729586765e-09
Years of Education,tau,S-LDSC,Repressed_Hoffman.flanking.500,8.642233814046882e-09,6.648607931250755e-09
Years of Education,tau,S-LDSC,SuperEnhancer_Hnisz,-3.011745074165084e-09,2.9357912844629816e-09
Years of Education,tau,S-LDSC,SuperEnhancer_Hnisz.flanking.500,-7.082373649327587e-08,4.344394686191343e-08
Years of Education,tau,S-LDSC,TFBS_ENCODE,-2.8634877823756805e-08,1.0137456927206104e-08
Years of Education,tau,S-LDSC,TFBS_ENCODE.flanking.500,7.766545413940665e-09,7.90259324433926e-09
Years of Education,tau,S-LDSC,Transcr_Hoffman,-2.5939241669773317e-09,4.9775771706705785e-09
Years of Education,tau,S-LDSC,Transcr_Hoffman.flanking.500,-5.336029608876417e-09,5.04313689168705e-09
Years of Education,tau,S-LDSC,TSS_Hoffman,1.3570535234768418e-08,2.2775021028915293e-08
Years of Education,tau,S-LDSC,TSS_Hoffman.flanking.500,3.140837363163837e-09,2.281117577193822e-08
Years of Education,tau,S-LDSC,UTR_3_UCSC,-3.348498992319938e-08,2.7039903330539925e-08
Years of Education,tau,S-LDSC,UTR_3_UCSC.flanking.500,-1.2279218055491456e-08,1.6084380101214368e-08
Years of Education,tau,S-LDSC,UTR_5_UCSC,-4.758073189033988e-08,2.6014332672743e-08
Years of Education,tau,S-LDSC,UTR_5_UCSC.flanking.500,9.02801009061376e-09,1.5140078875084733e-08
Years of Education,tau,S-LDSC,WeakEnhancer_Hoffman,2.4394489822100053e-08,2.249445167419548e-08
Years of Education,tau,S-LDSC,WeakEnhancer_Hoffman.flanking.500,1.6284408567255003e-08,1.1868912154888424e-08
Years of Education,tau,S-LDSC,GERP.NS,1.2166598229350398e-08,1.63365876411769e-09
Years of Education,tau,S-LDSC,GERP.RSsup4,3.683690290243462e-08,5.717591646259094e-08
Years of Education,tau,S-LDSC,MAFbin1,1.5926728075666764e-08,3.109503548566208e-09
Years of Education,tau,S-LDSC,MAFbin2,1.2742458924820587e-08,2.897945473695307e-09
Years of Education,tau,S-LDSC,MAFbin3,8.685522175484427e-09,3.0451034603980594e-09
Years of Education,tau,S-LDSC,MAFbin4,1.9055863634773602e-08,3.4470508409713628e-09
Years of Education,tau,S-LDSC,MAFbin5,2.2279562969367045e-08,3.752483706200796e-09
Years of Education,tau,S-LDSC,MAFbin6,2.1317470101377965e-08,4.267624704383927e-09
Years of Education,tau,S-LDSC,MAFbin7,2.5548117809227358e-08,4.841176919326429e-09
Years of Education,tau,S-LDSC,MAFbin8,3.789471055816194e-08,5.396439214902146e-09
Years of Education,tau,S-LDSC,MAFbin9,3.1205924225449595e-08,4.963270207130761e-09
Years of Education,tau,S-LDSC,MAFbin10,3.1150751056169556e-08,4.8016414843851135e-09
Years of Education,tau,S-LDSC,MAF_Adj_Predicted_Allele_Age,-7.600182237000823e-09,1.7102539595681243e-09
Years of Education,tau,S-LDSC,MAF_Adj_LLD_AFR,-4.144110605780969e-09,1.6336484670827923e-09
Years of Education,tau,S-LDSC,Recomb_Rate_10kb,-1.7105650855663112e-09,3.925735340422673e-10
Years of Education,tau,S-LDSC,Nucleotide_Diversity_10kb,-1.7695114844985024e-09,4.796353518197666e-10
Years of Education,tau,S-LDSC,Backgrd_Selection_Stat,6.57658634897915e-09,5.212888374715092e-09
Years of Education,tau,S-LDSC,CpG_Content_50kb,1.5770382521353103e-06,1.8745350125915595e-07
Years of Education,tau,S-LDSC,MAF_Adj_ASMC,-5.491572680782691e-09,1.6995440185000281e-09
Years of Education,tau,S-LDSC,GTEx_eQTL_MaxCPP,7.370327414418324e-08,3.052774820762656e-08
Years of Education,tau,S-LDSC,BLUEPRINT_H3K27acQTL_MaxCPP,-2.3141598957250563e-09,2.5666409480938195e-08
Years of Education,tau,S-LDSC,BLUEPRINT_H3K4me1QTL_MaxCPP,2.385545943593602e-08,3.121089624252672e-08
Years of Education,tau,S-LDSC,BLUEPRINT_DNA_methylation_MaxCPP,-1.0316041832967624e-08,1.840404740621193e-08
Years of Education,tau,S-LDSC,synonymous,-1.70731827793962e-07,6.29265240256876e-08
Years of Education,tau,S-LDSC,non_synonymous,-4.729093074276707e-09,5.6044547774663386e-08
Years of Education,tau,S-LDSC,Conserved_Vertebrate_phastCons46way,-8.524580230212966e-09,2.8726256679752702e-08
Years of Education,tau,S-LDSC,Conserved_Vertebrate_phastCons46way.flanking.500,-1.965029337657774e-08,1.0890427629161577e-08
Years of Education,tau,S-LDSC,Conserved_Mammal_phastCons46way,1.8320760417496378e-08,5.240267545233859e-08
Years of Education,tau,S-LDSC,Conserved_Mammal_phastCons46way.flanking.500,-1.5370741462905103e-08,1.210546572503134e-08
Years of Education,tau,S-LDSC,Conserved_Primate_phastCons46way,2.2683516607332e-07,3.5192144969698275e-08
Years of Education,tau,S-LDSC,Conserved_Primate_phastCons46way.flanking.500,1.6120490209840573e-08,8.550660979462612e-09
Years of Education,tau,S-LDSC,BivFlnk,3.2792528545658714e-08,2.41908126110535e-08
Years of Education,tau,S-LDSC,BivFlnk.flanking.500,-4.9182671628367725e-09,1.8669141586265836e-08
Years of Education,tau,S-LDSC,Human_Promoter_Villar,-4.443860305624368e-08,2.045188045144502e-08
Years of Education,tau,S-LDSC,Human_Promoter_Villar.flanking.500,-9.063473816418898e-08,6.64510466159511e-08
Years of Education,tau,S-LDSC,Human_Enhancer_Villar,-7.640877414317859e-09,1.1323538193191863e-08
Years of Education,tau,S-LDSC,Human_Enhancer_Villar.flanking.500,9.131886645323109e-09,2.653478320381105e-08
Years of Education,tau,S-LDSC,Ancient_Sequence_Age_Human_Promoter,1.8920954930282922e-07,6.491883491454411e-08
Years of Education,tau,S-LDSC,Ancient_Sequence_Age_Human_Promoter.flanking.500,3.5518954795870814e-08,5.3063154192347404e-08
Years of Education,tau,S-LDSC,Ancient_Sequence_Age_Human_Enhancer,7.381627049823302e-08,4.9142158038383836e-08
Years of Education,tau,S-LDSC,Ancient_Sequence_Age_Human_Enhancer.flanking.500,-5.6279625586844074e-08,3.338897315736928e-08
Years of Education,tau,S-LDSC,Human_Enhancer_Villar_Species_Enhancer_Count,1.1860014287410321e-09,2.409245015303582e-09
Years of Education,tau,S-LDSC,Human_Promoter_Villar_ExAC,2.290190692251849e-08,6.321019708367407e-08
Years of Education,tau,S-LDSC,Human_Promoter_Villar_ExAC.flanking.500,3.3583303515433137e-07,2.1443318783045306e-07
Years of Education,tau,S-LD2MAF,base,-7.483879040173628e-09,7.38398343805745e-09
Years of Education,tau,S-LD2MAF,Coding_UCSC,1.2338144713873299e-08,3.12461687697111e-08
Years of Education,tau,S-LD2MAF,Coding_UCSC.flanking.500,-2.8008747993637385e-08,1.0875056695516282e-08
Years of Education,tau,S-LD2MAF,Conserved_LindbladToh,-8.058847366059068e-09,4.2017981981240854e-08
Years of Education,tau,S-LD2MAF,Conserved_LindbladToh.flanking.500,1.1358720890209882e-08,5.2680365197420935e-09
Years of Education,tau,S-LD2MAF,CTCF_Hoffman,-1.4559524659191643e-08,1.8394492853598264e-08
Years of Education,tau,S-LD2MAF,CTCF_Hoffman.flanking.500,1.2163734746542322e-08,1.3340593789409648e-08
Years of Education,tau,S-LD2MAF,DGF_ENCODE,-1.2691885151273416e-08,1.150045305864977e-08
Years of Education,tau,S-LD2MAF,DGF_ENCODE.flanking.500,-1.5490116188547776e-08,6.971546611621348e-09
Years of Education,tau,S-LD2MAF,DHS_peaks_Trynka,1.9997715099044668e-09,2.0817308987811037e-08
Years of Education,tau,S-LD2MAF,DHS_Trynka,-1.4432661972241657e-08,1.7478911602562654e-08
Years of Education,tau,S-LD2MAF,DHS_Trynka.flanking.500,4.0667707156242025e-09,7.906460936655018e-09
Years of Education,tau,S-LD2MAF,Enhancer_Andersson,-1.471272652185013e-08,4.464862480627386e-08
Years of Education,tau,S-LD2MAF,Enhancer_Andersson.flanking.500,4.041880351547643e-08,2.664413361131761e-08
Years of Education,tau,S-LD2MAF,Enhancer_Hoffman,1.3022812539026504e-08,1.2446577757918738e-08
Years of Education,tau,S-LD2MAF,Enhancer_Hoffman.flanking.500,-2.4807315451736765e-08,1.4719132593725347e-08
Years of Education,tau,S-LD2MAF,FetalDHS_Trynka,6.014681936057711e-09,1.6164722951130243e-08
Years of Education,tau,S-LD2MAF,FetalDHS_Trynka.flanking.500,-7.048124708259844e-09,7.07720962573197e-09
Years of Education,tau,S-LD2MAF,H3K27ac_Hnisz,-1.928727159258203e-09,3.6855382455876213e-09
Years of Education,tau,S-LD2MAF,H3K27ac_Hnisz.flanking.500,-1.848745960564158e-08,1.8087559975547907e-08
Years of Education,tau,S-LD2MAF,H3K27ac_PGC2,1.867483933009348e-10,5.664692984784358e-09
Years of Education,tau,S-LD2MAF,H3K27ac_PGC2.flanking.500,-3.0029077639916067e-09,1.1927365510722897e-08
Years of Education,tau,S-LD2MAF,H3K4me1_peaks_Trynka,1.745621076235462e-08,1.1057625461125769e-08
Years of Education,tau,S-LD2MAF,H3K4me1_Trynka,-8.505377842309713e-09,7.3734537201902834e-09
Years of Education,tau,S-LD2MAF,H3K4me1_Trynka.flanking.500,-1.222319564126955e-08,7.87090854233623e-09
Years of Education,tau,S-LD2MAF,H3K4me3_peaks_Trynka,1.4320697039448696e-08,2.072089043110103e-08
Years of Education,tau,S-LD2MAF,H3K4me3_Trynka,-1.046942168210559e-09,8.823219944744543e-09
Years of Education,tau,S-LD2MAF,H3K4me3_Trynka.flanking.500,-2.9939516631746203e-09,8.41539672798005e-09
Years of Education,tau,S-LD2MAF,H3K9ac_peaks_Trynka,5.287119102684205e-08,2.318442648653879e-08
Years of Education,tau,S-LD2MAF,H3K9ac_Trynka,-2.272168376965132e-08,9.57320903446362e-09
Years of Education,tau,S-LD2MAF,H3K9ac_Trynka.flanking.500,7.961672577928218e-09,1.0203393520009498e-08
Years of Education,tau,S-LD2MAF,Intron_UCSC,4.457014568961984e-09,1.7018785568636261e-09
Years of Education,tau,S-LD2MAF,Intron_UCSC.flanking.500,-8.918004816398737e-09,3.3486136271668715e-08
Years of Education,tau,S-LD2MAF,PromoterFlanking_Hoffman,4.217354129181195e-08,4.280582897707142e-08
Years of Education,tau,S-LD2MAF,PromoterFlanking_Hoffman.flanking.500,2.0565647715631287e-09,1.906529149014562e-08
Years of Education,tau,S-LD2MAF,Promoter_UCSC,-4.768932619101503e-09,1.1217607635510017e-08
Years of Education,tau,S-LD2MAF,Promoter_UCSC.flanking.500,-1.7609152701897704e-08,3.177037720057884e-08
Years of Education,tau,S-LD2MAF,Repressed_Hoffman,-3.883210270184088e-09,6.133570683001997e-09
Years of Education,tau,S-LD2MAF,Repressed_Hoffman.flanking.500,7.948439200550641e-09,6.734564218613263e-09
Years of Education,tau,S-LD2MAF,SuperEnhancer_Hnisz,-3.13208916569096e-09,2.9718386956783423e-09
Years of Education,tau,S-LD2MAF,SuperEnhancer_Hnisz.flanking.500,-6.906908085681154e-08,4.419283590453686e-08
Years of Education,tau,S-LD2MAF,TFBS_ENCODE,-2.916997252073133e-08,1.024931565581214e-08
Years of Education,tau,S-LD2MAF,TFBS_ENCODE.flanking.500,7.614822970622876e-09,8.168198349858958e-09
Years of Education,tau,S-LD2MAF,Transcr_Hoffman,-2.9319502705604738e-09,5.130431058544432e-09
Years of Education,tau,S-LD2MAF,Transcr_Hoffman.flanking.500,-5.414794526672435e-09,4.984465914390253e-09
Years of Education,tau,S-LD2MAF,TSS_Hoffman,1.1776574399297484e-08,2.281363455481601e-08
Years of Education,tau,S-LD2MAF,TSS_Hoffman.flanking.500,1.4340566811354435e-09,2.361505982200308e-08
Years of Education,tau,S-LD2MAF,UTR_3_UCSC,-3.767314440465529e-08,2.5995050531196184e-08
Years of Education,tau,S-LD2MAF,UTR_3_UCSC.flanking.500,-8.248767605402534e-09,1.5264904817167704e-08
Years of Education,tau,S-LD2MAF,UTR_5_UCSC,-4.6741356776721115e-08,2.5923499272235797e-08
Years of Education,tau,S-LD2MAF,UTR_5_UCSC.flanking.500,6.271712271306024e-09,1.506159121152047e-08
Years of Education,tau,S-LD2MAF,WeakEnhancer_Hoffman,3.15043230163583e-08,2.291106180318048e-08
Years of Education,tau,S-LD2MAF,WeakEnhancer_Hoffman.flanking.500,1.5185400811798728e-08,1.1681440430674372e-08
Years of Education,tau,S-LD2MAF,GERP.NS,1.2017783113075048e-08,1.6155980525880166e-09
Years of Education,tau,S-LD2MAF,GERP.RSsup4,3.086795191309118e-08,5.437513509674023e-08
Years of Education,tau,S-LD2MAF,MAFbin1,1.53898482779604e-08,3.11783564119717e-09
Years of Education,tau,S-LD2MAF,MAFbin2,1.3111811634813324e-08,2.8872637582665086e-09
Years of Education,tau,S-LD2MAF,MAFbin3,7.762660227574328e-09,3.0956583774972855e-09
Years of Education,tau,S-LD2MAF,MAFbin4,1.9036689584139944e-08,3.5709374700212885e-09
Years of Education,tau,S-LD2MAF,MAFbin5,2.1486527878656704e-08,3.6657590726132345e-09
Years of Education,tau,S-LD2MAF,MAFbin6,2.0790777377126758e-08,4.290395281189267e-09
Years of Education,tau,S-LD2MAF,MAFbin7,2.6163586854062903e-08,4.748509654163405e-09
Years of Education,tau,S-LD2MAF,MAFbin8,3.9527426571926874e-08,5.602039607207824e-09
Years of Education,tau,S-LD2MAF,MAFbin9,2.983115114045544e-08,4.830937526580835e-09
Years of Education,tau,S-LD2MAF,MAFbin10,3.206736409465457e-08,4.903996217121078e-09
Years of Education,tau,S-LD2MAF,MAF_Adj_Predicted_Allele_Age,-7.427431992426684e-09,1.7682365398044996e-09
Years of Education,tau,S-LD2MAF,MAF_Adj_LLD_AFR,-3.856810431976811e-09,1.6130309859953755e-09
Years of Education,tau,S-LD2MAF,Recomb_Rate_10kb,-1.8227054563258577e-09,3.8501628666542893e-10
Years of Education,tau,S-LD2MAF,Nucleotide_Diversity_10kb,-1.671047762123976e-09,4.872175483119025e-10
Years of Education,tau,S-LD2MAF,Backgrd_Selection_Stat,7.831007907517925e-09,5.03517920952231e-09
Years of Education,tau,S-LD2MAF,CpG_Content_50kb,1.5866714177755522e-06,1.906092692503993e-07
Years of Education,tau,S-LD2MAF,MAF_Adj_ASMC,-5.577856958832042e-09,1.5622921870473869e-09
Years of Education,tau,S-LD2MAF,GTEx_eQTL_MaxCPP,7.90627900452639e-08,3.064647035198997e-08
Years of Education,tau,S-LD2MAF,BLUEPRINT_H3K27acQTL_MaxCPP,-4.667813554233532e-09,2.5387362757903367e-08
Years of Education,tau,S-LD2MAF,BLUEPRINT_H3K4me1QTL_MaxCPP,2.611441210757889e-08,3.079670655588348e-08
